map,day,month,year,date,wait_time_s,match_time_s,team_a_rounds,team_b_rounds,ping,kills,assists,deaths,mvps,hs_percent,points,result
Mirage,7.0,6.0,2018.0,7/6/2018,489.0,924.0,0.0,11.0,88.0,10.0,1.0,4.0,4.0,30.0,28.0,Win
Mirage,7.0,6.0,2018.0,7/6/2018,275.0,2435.0,9.0,16.0,84.0,25.0,0.0,19.0,4.0,12.0,53.0,Lost
Mirage,6.0,6.0,2018.0,6/6/2018,351.0,3231.0,15.0,15.0,119.0,15.0,5.0,27.0,3.0,13.0,48.0,Tie
Mirage,2.0,6.0,2018.0,2/6/2018,358.0,2794.0,15.0,15.0,97.0,22.0,4.0,21.0,4.0,22.0,51.0,Tie
Mirage,2.0,6.0,2018.0,2/6/2018,283.0,2365.0,8.0,16.0,92.0,8.0,1.0,11.0,3.0,25.0,24.0,Win
Cache,1.0,6.0,2018.0,1/6/2018,91.0,1659.0,2.0,16.0,92.0,10.0,1.0,13.0,0.0,10.0,21.0,Lost
Mirage,1.0,6.0,2018.0,1/6/2018,518.0,2354.0,16.0,7.0,101.0,16.0,8.0,18.0,1.0,37.0,48.0,Lost
Mirage,26.0,5.0,2018.0,26/5/2018,415.0,1873.0,16.0,5.0,91.0,8.0,2.0,18.0,2.0,12.0,22.0,Lost
Mirage,25.0,5.0,2018.0,25/5/2018,348.0,2177.0,16.0,10.0,88.0,19.0,5.0,14.0,4.0,21.0,49.0,Win
Mirage,25.0,5.0,2018.0,25/5/2018,379.0,2972.0,15.0,15.0,90.0,36.0,5.0,17.0,4.0,22.0,89.0,Tie
Mirage,25.0,5.0,2018.0,25/5/2018,331.0,880.0,7.0,3.0,89.0,7.0,1.0,5.0,2.0,14.0,15.0,Win
Mirage,25.0,5.0,2018.0,25/5/2018,402.0,1527.0,14.0,1.0,91.0,10.0,1.0,10.0,1.0,20.0,22.0,Win
Mirage,25.0,5.0,2018.0,25/5/2018,407.0,2916.0,14.0,16.0,143.0,22.0,6.0,21.0,2.0,13.0,56.0,Lost
Mirage,25.0,5.0,2018.0,25/5/2018,435.0,2723.0,16.0,11.0,121.0,17.0,6.0,20.0,3.0,23.0,46.0,Win
Mirage,24.0,5.0,2018.0,24/5/2018,186.0,2369.0,16.0,10.0,150.0,16.0,3.0,19.0,3.0,12.0,46.0,Lost
Mirage,24.0,5.0,2018.0,24/5/2018,232.0,2455.0,16.0,12.0,90.0,14.0,8.0,20.0,2.0,7.0,42.0,Lost
Dust II,22.0,5.0,2018.0,22/5/2018,355.0,1682.0,16.0,6.0,82.0,11.0,5.0,15.0,2.0,36.0,29.0,Win
Dust II,20.0,5.0,2018.0,20/5/2018,348.0,1888.0,16.0,4.0,84.0,19.0,4.0,10.0,2.0,10.0,42.0,Win
Mirage,20.0,5.0,2018.0,20/5/2018,284.0,1860.0,5.0,16.0,86.0,18.0,6.0,13.0,4.0,27.0,47.0,Win
Cache,19.0,5.0,2018.0,19/5/2018,258.0,3327.0,14.0,16.0,83.0,36.0,5.0,21.0,7.0,25.0,89.0,Lost
Dust II,18.0,5.0,2018.0,18/5/2018,185.0,2752.0,15.0,15.0,0.0,25.0,3.0,15.0,3.0,24.0,64.0,Tie
Dust II,18.0,5.0,2018.0,18/5/2018,402.0,1621.0,16.0,4.0,88.0,22.0,9.0,9.0,7.0,18.0,53.0,Win
Dust II,11.0,5.0,2018.0,11/5/2018,510.0,3106.0,15.0,15.0,91.0,20.0,5.0,23.0,3.0,30.0,53.0,Tie
Dust II,10.0,5.0,2018.0,10/5/2018,352.0,1659.0,2.0,16.0,89.0,15.0,4.0,11.0,0.0,26.0,37.0,Win
Cache,7.0,5.0,2018.0,7/5/2018,254.0,2472.0,10.0,16.0,87.0,15.0,8.0,22.0,2.0,20.0,42.0,Lost
Cache,6.0,5.0,2018.0,6/5/2018,415.0,1735.0,6.0,16.0,207.0,13.0,5.0,15.0,1.0,15.0,31.0,Lost
Overpass,6.0,5.0,2018.0,6/5/2018,296.0,2288.0,16.0,9.0,0.0,7.0,4.0,15.0,0.0,14.0,19.0,Lost
Dust II,6.0,5.0,2018.0,6/5/2018,441.0,2478.0,16.0,12.0,85.0,22.0,6.0,20.0,1.0,17.0,54.0,Lost
Mirage,5.0,5.0,2018.0,5/5/2018,393.0,2186.0,5.0,16.0,200.0,14.0,7.0,14.0,2.0,28.0,37.0,Win
Dust II,27.0,4.0,2018.0,27/4/2018,406.0,668.0,8.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,Lost
Dust II,27.0,4.0,2018.0,27/4/2018,132.0,2294.0,16.0,10.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,Lost
Mirage,27.0,4.0,2018.0,27/4/2018,383.0,1227.0,12.0,1.0,89.0,18.0,2.0,3.0,2.0,11.0,39.0,Win
Mirage,25.0,4.0,2018.0,25/4/2018,332.0,1627.0,11.0,6.0,198.0,10.0,3.0,11.0,1.0,10.0,30.0,Lost
Mirage,22.0,4.0,2018.0,22/4/2018,325.0,2436.0,16.0,12.0,387.0,8.0,9.0,21.0,0.0,37.0,32.0,Lost
Mirage,2.0,3.0,2018.0,2/3/2018,177.0,2764.0,16.0,12.0,103.0,15.0,4.0,18.0,3.0,40.0,45.0,Lost
Mirage,2.0,3.0,2018.0,2/3/2018,68.0,1778.0,5.0,16.0,92.0,9.0,3.0,14.0,0.0,11.0,23.0,Lost
Mirage,1.0,3.0,2018.0,1/3/2018,277.0,2363.0,16.0,9.0,185.0,11.0,4.0,21.0,1.0,36.0,37.0,Lost
Mirage,1.0,3.0,2018.0,1/3/2018,308.0,2174.0,16.0,7.0,94.0,9.0,2.0,21.0,2.0,22.0,24.0,Lost
Mirage,1.0,3.0,2018.0,1/3/2018,291.0,2582.0,11.0,16.0,90.0,19.0,6.0,22.0,2.0,26.0,46.0,Lost
Dust II,1.0,3.0,2018.0,1/3/2018,219.0,2497.0,10.0,16.0,90.0,23.0,5.0,19.0,2.0,30.0,67.0,Lost
Dust II,28.0,2.0,2018.0,28/2/2018,245.0,3155.0,14.0,16.0,92.0,14.0,5.0,19.0,2.0,28.0,37.0,Lost
Mirage,27.0,2.0,2018.0,27/2/2018,325.0,2266.0,16.0,7.0,95.0,10.0,9.0,15.0,1.0,10.0,31.0,Win
Mirage,27.0,2.0,2018.0,27/2/2018,198.0,2559.0,9.0,16.0,223.0,10.0,3.0,21.0,0.0,10.0,28.0,Lost
Mirage,27.0,2.0,2018.0,27/2/2018,315.0,1931.0,5.0,16.0,93.0,12.0,0.0,16.0,0.0,16.0,25.0,Lost
Mirage,26.0,2.0,2018.0,26/2/2018,214.0,3041.0,16.0,14.0,88.0,20.0,7.0,22.0,3.0,25.0,62.0,Lost
Mirage,26.0,2.0,2018.0,26/2/2018,133.0,1732.0,4.0,16.0,88.0,18.0,3.0,12.0,3.0,27.0,53.0,Win
Mirage,24.0,2.0,2018.0,24/2/2018,43.0,2366.0,16.0,10.0,95.0,24.0,4.0,13.0,4.0,16.0,60.0,Win
Mirage,24.0,2.0,2018.0,24/2/2018,266.0,1852.0,16.0,5.0,98.0,10.0,8.0,14.0,1.0,30.0,28.0,Win
Mirage,24.0,2.0,2018.0,24/2/2018,262.0,2143.0,16.0,7.0,94.0,16.0,7.0,18.0,2.0,31.0,45.0,Lost
Mirage,24.0,2.0,2018.0,24/2/2018,265.0,2954.0,12.0,16.0,95.0,23.0,8.0,23.0,2.0,17.0,65.0,Win
Dust II,24.0,2.0,2018.0,24/2/2018,85.0,3006.0,15.0,15.0,90.0,21.0,4.0,23.0,2.0,9.0,55.0,Tie
Mirage,24.0,2.0,2018.0,24/2/2018,219.0,2955.0,15.0,15.0,89.0,17.0,5.0,21.0,1.0,17.0,47.0,Tie
Mirage,23.0,2.0,2018.0,23/2/2018,118.0,3429.0,16.0,14.0,93.0,34.0,4.0,22.0,6.0,32.0,88.0,Win
Mirage,23.0,2.0,2018.0,23/2/2018,202.0,2405.0,16.0,10.0,97.0,16.0,7.0,20.0,1.0,31.0,41.0,Lost
Cobblestone,23.0,2.0,2018.0,23/2/2018,146.0,1942.0,16.0,3.0,90.0,20.0,2.0,8.0,3.0,5.0,46.0,Win
Cache,22.0,2.0,2018.0,22/2/2018,292.0,1708.0,16.0,3.0,95.0,9.0,2.0,17.0,1.0,33.0,24.0,Lost
Mirage,22.0,2.0,2018.0,22/2/2018,286.0,2481.0,12.0,16.0,87.0,18.0,13.0,19.0,4.0,27.0,51.0,Win
Dust II,22.0,2.0,2018.0,22/2/2018,118.0,981.0,1.0,10.0,92.0,11.0,2.0,4.0,4.0,9.0,26.0,Win
Dust II,20.0,2.0,2018.0,20/2/2018,162.0,2712.0,16.0,9.0,0.0,9.0,6.0,17.0,2.0,11.0,26.0,Lost
Dust II,20.0,2.0,2018.0,20/2/2018,197.0,2604.0,11.0,16.0,0.0,23.0,2.0,17.0,3.0,21.0,52.0,Win
Mirage,19.0,2.0,2018.0,19/2/2018,40.0,2709.0,16.0,11.0,87.0,28.0,4.0,19.0,6.0,10.0,68.0,Lost
Cobblestone,19.0,2.0,2018.0,19/2/2018,126.0,2726.0,16.0,7.0,0.0,3.0,2.0,7.0,0.0,33.0,8.0,Lost
Dust II,18.0,2.0,2018.0,18/2/2018,227.0,2078.0,7.0,16.0,121.0,19.0,2.0,19.0,1.0,15.0,42.0,Lost
Overpass,18.0,2.0,2018.0,18/2/2018,325.0,2458.0,16.0,8.0,0.0,7.0,0.0,15.0,0.0,14.0,17.0,Lost
Mirage,18.0,2.0,2018.0,18/2/2018,290.0,3345.0,14.0,16.0,86.0,18.0,5.0,25.0,2.0,22.0,49.0,Lost
Mirage,18.0,2.0,2018.0,18/2/2018,256.0,2784.0,13.0,16.0,159.0,9.0,7.0,23.0,1.0,22.0,30.0,Win
Mirage,17.0,2.0,2018.0,17/2/2018,258.0,2429.0,11.0,16.0,88.0,11.0,12.0,18.0,1.0,45.0,40.0,Win
Dust II,12.0,2.0,2018.0,12/2/2018,116.0,2520.0,12.0,16.0,97.0,19.0,4.0,19.0,1.0,10.0,51.0,Lost
Cache,11.0,2.0,2018.0,11/2/2018,30.0,2537.0,11.0,16.0,152.0,25.0,6.0,18.0,2.0,28.0,62.0,Lost
Dust II,8.0,2.0,2018.0,8/2/2018,141.0,2217.0,16.0,7.0,164.0,15.0,7.0,13.0,2.0,13.0,37.0,Win
Cache,8.0,2.0,2018.0,8/2/2018,252.0,2489.0,11.0,16.0,141.0,14.0,6.0,16.0,1.0,21.0,39.0,Win
Dust II,7.0,2.0,2018.0,7/2/2018,96.0,2772.0,16.0,14.0,140.0,27.0,7.0,20.0,4.0,37.0,65.0,Lost
Dust II,6.0,2.0,2018.0,6/2/2018,286.0,2070.0,7.0,16.0,87.0,10.0,3.0,21.0,1.0,30.0,23.0,Lost
Mirage,26.0,1.0,2018.0,26/1/2018,267.0,2229.0,10.0,16.0,87.0,16.0,6.0,21.0,2.0,31.0,40.0,Lost
Dust II,26.0,1.0,2018.0,26/1/2018,342.0,1596.0,16.0,5.0,79.0,13.0,4.0,15.0,2.0,23.0,31.0,Win
Dust II,26.0,1.0,2018.0,26/1/2018,391.0,3096.0,12.0,16.0,82.0,12.0,4.0,24.0,2.0,23.0,30.0,Lost
Cache,25.0,1.0,2018.0,25/1/2018,192.0,2820.0,16.0,11.0,83.0,16.0,7.0,23.0,1.0,37.0,42.0,Lost
Mirage,25.0,1.0,2018.0,25/1/2018,249.0,1996.0,16.0,6.0,80.0,16.0,3.0,19.0,2.0,25.0,41.0,Lost
Dust II,25.0,1.0,2018.0,25/1/2018,290.0,2707.0,15.0,15.0,79.0,28.0,5.0,20.0,4.0,25.0,64.0,Tie
Dust II,24.0,1.0,2018.0,24/1/2018,55.0,1765.0,16.0,2.0,85.0,7.0,5.0,13.0,2.0,14.0,19.0,Win
Mirage,24.0,1.0,2018.0,24/1/2018,243.0,1927.0,5.0,16.0,0.0,5.0,3.0,14.0,0.0,40.0,13.0,Lost
Dust II,24.0,1.0,2018.0,24/1/2018,315.0,2634.0,14.0,16.0,82.0,19.0,7.0,23.0,4.0,36.0,48.0,Lost
Mirage,23.0,1.0,2018.0,23/1/2018,316.0,1906.0,16.0,3.0,88.0,5.0,1.0,16.0,1.0,0.0,17.0,Lost
Dust II,23.0,1.0,2018.0,23/1/2018,317.0,2064.0,7.0,16.0,109.0,16.0,4.0,15.0,2.0,31.0,36.0,Win
Mirage,23.0,1.0,2018.0,23/1/2018,390.0,2144.0,6.0,16.0,87.0,11.0,4.0,19.0,1.0,9.0,31.0,Lost
Dust II,22.0,1.0,2018.0,22/1/2018,435.0,2534.0,8.0,16.0,101.0,15.0,3.0,19.0,3.0,26.0,45.0,Lost
Mirage,21.0,1.0,2018.0,21/1/2018,236.0,2357.0,16.0,10.0,85.0,23.0,2.0,17.0,4.0,4.0,53.0,Lost
Mirage,21.0,1.0,2018.0,21/1/2018,137.0,2869.0,12.0,16.0,103.0,26.0,8.0,19.0,6.0,15.0,63.0,Win
Dust II,21.0,1.0,2018.0,21/1/2018,187.0,1541.0,16.0,4.0,102.0,10.0,0.0,17.0,0.0,20.0,22.0,Lost
Dust II,20.0,1.0,2018.0,20/1/2018,119.0,2671.0,13.0,16.0,154.0,22.0,4.0,22.0,3.0,18.0,55.0,Lost
Mirage,19.0,1.0,2018.0,19/1/2018,269.0,2025.0,16.0,6.0,81.0,17.0,6.0,12.0,3.0,23.0,54.0,Win
Inferno,19.0,1.0,2018.0,19/1/2018,112.0,2574.0,16.0,9.0,81.0,22.0,4.0,17.0,3.0,22.0,52.0,Lost
Mirage,19.0,1.0,2018.0,19/1/2018,129.0,2700.0,13.0,16.0,0.0,10.0,3.0,22.0,0.0,20.0,31.0,Lost
Inferno,18.0,1.0,2018.0,18/1/2018,412.0,2889.0,16.0,12.0,86.0,14.0,7.0,20.0,3.0,28.0,40.0,Lost
Mirage,18.0,1.0,2018.0,18/1/2018,335.0,2827.0,12.0,16.0,82.0,14.0,4.0,18.0,0.0,21.0,39.0,Lost
Mirage,18.0,1.0,2018.0,18/1/2018,48.0,3037.0,14.0,16.0,84.0,19.0,7.0,21.0,3.0,31.0,51.0,Win
Mirage,17.0,1.0,2018.0,17/1/2018,348.0,2952.0,13.0,16.0,90.0,14.0,6.0,24.0,4.0,35.0,37.0,Lost
Dust II,17.0,1.0,2018.0,17/1/2018,380.0,2615.0,13.0,16.0,77.0,17.0,2.0,22.0,1.0,29.0,41.0,Win
Mirage,23.0,12.0,2017.0,23/12/2017,141.0,2899.0,14.0,16.0,85.0,17.0,5.0,20.0,3.0,11.0,43.0,Win
Mirage,23.0,12.0,2017.0,23/12/2017,208.0,2187.0,9.0,16.0,103.0,25.0,10.0,13.0,5.0,32.0,69.0,Win
Mirage,23.0,12.0,2017.0,23/12/2017,360.0,2456.0,7.0,16.0,87.0,20.0,3.0,11.0,3.0,20.0,61.0,Win
Inferno,23.0,12.0,2017.0,23/12/2017,319.0,2745.0,16.0,11.0,82.0,14.0,2.0,21.0,4.0,28.0,39.0,Lost
Mirage,23.0,12.0,2017.0,23/12/2017,213.0,2053.0,16.0,6.0,99.0,22.0,3.0,13.0,5.0,27.0,54.0,Win
Dust II,23.0,12.0,2017.0,23/12/2017,85.0,2451.0,16.0,12.0,77.0,9.0,6.0,21.0,1.0,22.0,26.0,Win
Mirage,22.0,12.0,2017.0,22/12/2017,104.0,2747.0,15.0,15.0,93.0,25.0,3.0,20.0,4.0,42.0,58.0,Tie
Mirage,22.0,12.0,2017.0,22/12/2017,349.0,2003.0,16.0,3.0,88.0,12.0,5.0,9.0,2.0,25.0,29.0,Win
Dust II,22.0,12.0,2017.0,22/12/2017,363.0,1956.0,7.0,12.0,81.0,6.0,2.0,13.0,1.0,16.0,17.0,Lost
Dust II,22.0,12.0,2017.0,22/12/2017,118.0,2509.0,11.0,16.0,85.0,12.0,7.0,19.0,0.0,16.0,37.0,Win
Dust II,22.0,12.0,2017.0,22/12/2017,388.0,2734.0,15.0,15.0,88.0,15.0,1.0,23.0,4.0,6.0,33.0,Tie
Mirage,21.0,12.0,2017.0,21/12/2017,19.0,3174.0,15.0,15.0,80.0,17.0,12.0,26.0,1.0,35.0,50.0,Tie
Dust II,21.0,12.0,2017.0,21/12/2017,196.0,2373.0,16.0,11.0,72.0,15.0,3.0,21.0,1.0,26.0,37.0,Lost
Mirage,21.0,12.0,2017.0,21/12/2017,147.0,2707.0,16.0,13.0,90.0,26.0,3.0,14.0,2.0,3.0,68.0,Win
Mirage,21.0,12.0,2017.0,21/12/2017,187.0,2694.0,16.0,13.0,87.0,19.0,4.0,24.0,4.0,15.0,55.0,Lost
Dust II,20.0,12.0,2017.0,20/12/2017,91.0,2497.0,15.0,15.0,289.0,14.0,2.0,22.0,2.0,13.0,35.0,Tie
Dust II,20.0,12.0,2017.0,20/12/2017,320.0,2063.0,16.0,7.0,87.0,25.0,4.0,12.0,3.0,24.0,57.0,Win
Mirage,20.0,12.0,2017.0,20/12/2017,84.0,2801.0,15.0,15.0,147.0,12.0,2.0,22.0,1.0,8.0,29.0,Tie
Cache,20.0,12.0,2017.0,20/12/2017,53.0,1803.0,4.0,16.0,90.0,6.0,1.0,19.0,0.0,33.0,15.0,Lost
Mirage,20.0,12.0,2017.0,20/12/2017,296.0,2842.0,15.0,15.0,83.0,25.0,3.0,21.0,5.0,24.0,65.0,Tie
Dust II,20.0,12.0,2017.0,20/12/2017,264.0,2328.0,16.0,12.0,93.0,11.0,5.0,20.0,1.0,27.0,38.0,Win
